Sr No,date,startup,vertical,city,investors,round,amount
542,2017-10-10,Easy Diner,Consumer Internet,Gurgaon,Saama Capital and DSG Consumer Partners,Private Equity,4500000
543,2017-11-10,Meesho,ECommerce,Bangalore,"SAIF Partners, YCombinator, Venture Highway",Private Equity,3100000
544,2017-11-10,StanPlus,Logistics,Hyderabad,KStart Capital,Private Equity,1100000
545,2017-12-10,UCLID,Technology,Hyderabad,Undisclosed investors,Seed Funding,235000
546,2017-10-13,Policy Bazaar,Consumer Internet,Gurgaon,"Wellington Management, DG Ventures India, True North",Private Equity,77000000
547,2017-10-13,Gapoon,Consumer Internet,Bangalore,"Vida Ventures, Snehal Mantri, Anshu Bahadur",Seed Funding,250000
548,2017-10-13,Chaayos,eCommerce,Gurgaon,Tiger Global Management,Private Equity,2000000
549,2017-10-16,KrazyBee,Consumer Internet,Bangalore,"Xiaomi Technologies, Shunwei Capital",Private Equity,8000000
550,2017-10-16,Renew Buy,Consumer Internet,New Delhi,Amicus Capital,Private Equity,9200000
551,2017-10-17,Fingerlix,Consumer Internet,Bangalore,"Accel Partners, Zephyr Peacock",Private Equity,7000000
552,2017-10-18,Bank Bazaar,Consumer Internet,Chennai,Experian,Private Equity,7000000
553,2017-10-18,Hasura,Technology,Chennai,"Nexus, GREE Ventures",Private Equity,0
554,2017-10-18,BlackBuck,Logistics,Bangalore,Innoven Capital,Private Equity,7700000
555,2017-10-18,LenDen Club,Consumer Internet,Mumbai,Undisclosed Investor,Seed Funding,500000
556,2017-10-23,Toppr,Consumer Internet,Mumbai,"SAIF Partners, Helion Ventures, FIL Capital Management",Private Equity,7000000
557,2017-10-23,RAW Pressery,Food & Beverage,Mumbai,"DSG Consumer Partners, Sequoia Capital, Saama Capital",Private Equity,6000000
558,2017-10-23,Cashe,Consumer Internet,Mumbai,IFMR Capital,Debt Funding,3100000
559,2017-10-23,Park Easy,Consumer Internet,Kolkata,Rockstart Accelerator,Seed Funding,118000
560,2017-10-24,TagBox,Technology,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,0
561,2017-10-24,FYRE,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,500000
562,2017-10-24,ZipLoan,Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,3000000
563,2017-10-24,Skillenza,Consumer Internet,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,722000
564,2017-10-24,Chevon,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,0
565,2017-10-25,PropStory,Consumer Internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,0
566,2017-10-25,SpotDraft,Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,550000
567,2017-10-26,Big Basket,eCommerce,Bangalore,Helion Ventures Partners,Private Equity,5000000
568,2017-10-27,OfBusiness,Technology,Gurgaon,Kotak Mahindra Bank,Debt Funding,3800000
569,2017-10-27,Olly Credit,Technology,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,0
570,2017-10-28,CashFree,Technology,New Delhi,Y Combinator,Seed Funding,120000
571,2017-10-28,Ola Cabs,Consumer Internet,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,7700000
572,2017-10-30,GoldFarm,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,2000000
573,2017-10-31,NetMeds,ECommerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,14000000
574,2017-10-31,MSE,Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,32000000
575,2017-01-09,Aahaa Stores,eCommece,Chennai,YourNest Angel Fund,Private Equity,1000000
576,2017-01-09,MFine,Consumer Internet,Bangalore,"Stellaris Venture Partners, Mayur Abhaya, Rohit MA",Private Equity,1500000
577,2017-01-09,Canvera,Consumer Internet,Mumbai,InfoEdge,Private Equity,1300000
578,2017-04-09,PrimaryIO,Technology,Pune,"Accel Partners, Exfinity Ventures, Partech Ventures",Private Equity,5600000
579,2017-05-09,Shubh Loans,Consumer Internet,Bangalore,"SRI Capital, BeeNext, Pravega Ventures",Private Equity,1500000
580,2017-05-09,Nest Education,Technology,Gurgaon,"Michael and Susan Dell Foundation, Anand Mahindra",Seed Funding,600000
581,2017-06-09,Lending Kart,Consumer Internet,Ahmedabad,"Bertelsmann India, Mayfield Capital, Saama Capital, Darrin Capital",Private Equity,10750000
582,2017-06-09,GoFro,Consumer Internet,New Delhi,"HIS Co. Ltd, MakeMyTrip",Private Equity,10000000
583,2017-06-09,OncoStem,Healthcare,Bangalore,"Sequoia Capital India, Artiman Ventures",Private Equity,6000000
